molecule_chembl_id,activity_label,standard_value,standard_units,target_chembl_id,assay_chembl_id,rdkit_canonical_smiles
CHEMBL2113943,1,169.0,nM,CHEMBL364,CHEMBL2114000,CCOC(=O)c1ccc(-n2c(C)cc(/C=C3\S/C(=N/c4ccccc4)NC3=O)c2C)cc1
CHEMBL3604005,1,610.0,nM,CHEMBL364,CHEMBL3607903,CC(C)CCN1C(=O)N(CCCc2ccncc2)C(=O)C12CCN(Cc1cc(Cl)ccc1O)CC2
CHEMBL484131,1,250.0,nM,CHEMBL364,CHEMBL1006270,CN(C)CCNc1c2c3ccccc3nc-2n(C)c2ccc(Cl)cc12
CHEMBL6163817,1,532.6,nM,CHEMBL364,CHEMBL6115095,Cn1cc(NC(=O)c2cc(NC(=O)c3ccc(/C=C/c4ccc(F)cc4)cc3)cn2C)cc1C(=O)NCCC(=N)N.O=C(O)C(F)(F)F
CHEMBL3818780,1,130.0,nM,CHEMBL364,CHEMBL3820736,Cc1cc(N2CCN(c3ccnc4cc(Cl)ccc34)CC2)nc(NCCO)n1
CHEMBL263972,1,0.09,nM,CHEMBL364,CHEMBL1267245,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O.[Br-].[Br-]
CHEMBL530417,1,309.61,nM,CHEMBL364,CHEMBL1054503,N=C(N)Nc1nc(-c2ccc(NCc3ccc(CNc4cccc(-c5csc(NC(=N)N)n5)c4)cc3)cc2)cs1
CHEMBL579673,1,626.58,nM,CHEMBL364,CHEMBL1054503,Cc1cccc2nc(-c3cccc(-c4ccc(NC(=O)Cc5ccc[n+]([O-])c5)cc4)c3)[nH]c12
CHEMBL3355625,1,2.2,nM,CHEMBL364,CHEMBL3381290,CS(=O)(=O)c1ccc(-c2cnc3ccc(-c4cccc(S(=O)(=O)CCO)c4)nn23)cc1
CHEMBL3586300,0,10000.0,nM,CHEMBL364,CHEMBL3588092,CC1(C)C[C@@H]2[C@H]1CC[C@@]1(C)CCC[C@]2(N=C=S)C1
CHEMBL1687983,1,220.0,nM,CHEMBL364,CHEMBL1696252,Cc1cc(NC(=O)Nc2ccc(C)c(Cl)c2)c2ccccc2n1
CHEMBL533142,1,222.0,nM,CHEMBL364,CHEMBL1054503,C[C@H](N[C@H]1CCCc2c1[nH]c1ccc(Br)cc21)c1ccccc1.Cl
CHEMBL529027,1,939.82,nM,CHEMBL364,CHEMBL1054503,COc1cccc(C(=O)Nc2ccc(Nc3nc(C)cc(N(C)C)n3)cc2)c1
CHEMBL580354,1,733.46,nM,CHEMBL364,CHEMBL1054503,Cc1ncccc1C(=O)Nc1ccc(-c2cccc(-c3nc4cccc(C)c4[nH]3)c2)cc1
CHEMBL528689,1,786.13,nM,CHEMBL364,CHEMBL1054503,COc1ccc(CNCc2ccccc2)cc1-c1cccc(S(=O)(=O)NCCN2CCCC2)c1.O=C(O)C(F)(F)F
CHEMBL5310730,1,912.0,nM,CHEMBL364,CHEMBL4888488,COc1cc2nc(-c3ccc(F)c4cccnc34)nc(N)c2cc1OC
CHEMBL576400,1,150.2,nM,CHEMBL364,CHEMBL1040691,Clc1ccc(CCNC2CCN(CCc3ccccc3)CC2)cc1
CHEMBL5410995,1,155.0,nM,CHEMBL364,CHEMBL5326136,O=C(CNc1ccccc1F)NC(C(=O)NO)c1ccc(Br)cc1
CHEMBL4074882,1,560.0,nM,CHEMBL364,CHEMBL4000403,COc1cc(O)c(C(C)=O)c(O)c1C/C=C(/C)CC/C=C(/C)CCC=C(C)C
CHEMBL4564508,0,250000.0,nM,CHEMBL364,CHEMBL4377157,CCOC(=O)[C@H](Cc1ccccc1)NP(N)(=O)CCO[C@H](CO)Cn1cnc2c(=O)[nH]cnc21
CHEMBL585815,1,22.22,nM,CHEMBL364,CHEMBL1040692,CC1CN=C(c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C5=NCC(C)N5)cc4)c(N)c3)cc2)N1
CHEMBL527225,1,687.79,nM,CHEMBL364,CHEMBL1054503,CCCNC(=O)c1cncc(-c2ccc(CNCCCc3ccccc3)cc2)c1.O=C(O)C(F)(F)F
CHEMBL528142,1,966.03,nM,CHEMBL364,CHEMBL1054503,O=c1cc(NCCCNCc2cc(Cl)c(Cl)cc2Cl)[nH]c2ccccc12
CHEMBL529368,1,788.14,nM,CHEMBL364,CHEMBL1054503,Cc1c(Cl)cccc1S(=O)(=O)N1CCCCC(c2ccc(C(F)(F)F)cc2)=N1
CHEMBL589490,0,15000.0,nM,CHEMBL364,CHEMBL730080,CCCCn1nnnc1NCc1cc(Cl)c(OC)c(OC)c1
